url,title,location,price,currency,description,updated
https://www.idealista.com/inmueble/105736483/,Piso en venta en calle Cantarranas,"José Zorrilla - Padre Claret, Segovia",189000,€,,
https://www.idealista.com/inmueble/105861664/,"Piso en venta en calle Velarde, 9","Plaza Mayor - S.Agustín, Segovia",280000,€,,
https://www.idealista.com/inmueble/102955337/,Piso en venta en calle de Antonio Coronel,"S.Lorenzo - S.Marcos, Segovia",184900,€,,
https://www.idealista.com/inmueble/104504398/,Piso en venta en calle del Mal Consejo,"Plaza Mayor - S.Agustín, Segovia",345000,€,,
https://www.idealista.com/inmueble/105108486/,Casa o chalet independiente en venta en calle de San Gabriel,"Vía Roma, Segovia",1200000,€,,
https://www.idealista.com/inmueble/104972666/,Chalet adosado en venta en carretera de Valdevilla,"Sector Plaza de Toros, Segovia",180000,€,,
https://www.idealista.com/inmueble/103112911/,"Piso en venta en calle Cantueso, 2","Ezequiel González - Cde. Sepulveda, Segovia",227000,€,,
https://www.idealista.com/inmueble/98094707/,"Piso en venta en calle Cantueso, 2","Ezequiel González - Cde. Sepulveda, Segovia",363000,€,,
https://www.idealista.com/inmueble/105151578/,Piso en venta en del Sexmo de Cabezas s/n,"Sector Plaza de Toros, Segovia",243225,€,,
https://www.idealista.com/inmueble/104875740/,"Piso en venta en calle Sexmo del Espinar, 1","Sector Plaza de Toros, Segovia",162000,€,,
https://www.idealista.com/inmueble/36518665/,Casa o chalet independiente en venta en calle Felipe II,"El Carmen, Segovia",550000,€,,
https://www.idealista.com/inmueble/105587536/,Dúplex en venta en calle María de Pablos Cerezo,"Centro, Segovia",190000,€,,
https://www.idealista.com/inmueble/103983604/,Piso en venta en carretera de Villacastín,"El Cerro - Crtra. San Rafael, Segovia",170000,€,,
https://www.idealista.com/inmueble/103930101/,Casa o chalet independiente en venta en velarde,"Plaza Mayor - S.Agustín, Segovia",2480000,€,,
https://www.idealista.com/inmueble/103899845/,"Piso en venta en avenida Juan Carlos I, 4","José Zorrilla - Padre Claret, Segovia",120000,€,,
https://www.idealista.com/inmueble/105871341/,Dúplex en venta en Centro,Segovia,473000,€,,
https://www.idealista.com/inmueble/26742964/,Piso en venta en José Zorrilla - Padre Claret,Segovia,175000,€,,
https://www.idealista.com/inmueble/104539973/,Casa o chalet independiente en venta en S.Lorenzo - S.Marcos,Segovia,400000,€,,
https://www.idealista.com/inmueble/100763402/,Piso en venta en plaza Juan Guas,"Plaza Mayor - S.Agustín, Segovia",515000,€,,
https://www.idealista.com/inmueble/100749949/,Chalet adosado en venta en plaza de la trinidad,"Plaza Mayor - S.Agustín, Segovia",1395000,€,,
https://www.idealista.com/inmueble/102277845/,Casa o chalet independiente en venta en calle Zurbarán,"Ezequiel González - Cde. Sepulveda, Segovia",660000,€,,
https://www.idealista.com/inmueble/105035430/,"Piso en venta en calle de los Coches, 4","Centro, Segovia",460000,€,,
https://www.idealista.com/inmueble/102581269/,Casa o chalet independiente en venta en calle San Juan,"Plaza Mayor - S.Agustín, Segovia",675000,€,,
https://www.idealista.com/inmueble/105236700/,Piso en venta en avenida Acueducto,"Centro, Segovia",599685,€,,
https://www.idealista.com/inmueble/102265296/,Piso en venta en calle San Francisco,"Centro, Segovia",482150,€,,
https://www.idealista.com/inmueble/103919581/,Piso en venta en calle Cantarranas,"José Zorrilla - Padre Claret, Segovia",135000,€,,
https://www.idealista.com/inmueble/105835980/,Piso en venta en plaza la Rubia,"Plaza Mayor - S.Agustín, Segovia",194500,€,,
https://www.idealista.com/inmueble/105605427/,"Casa o chalet independiente en venta en calle Arturo Merino, 12","Centro, Segovia",250000,€,,
